txn_id,date,product,region,channel,units,unit_price,revenue,discount_pct,tax
TXN1000000,2025-01-01,Widget-Alpha,North-America,online,553,809.03,357914.87,20,64424.68
TXN1000001,2025-02-02,Widget-Beta,South-America,retail,31,623.76,18369.73,5,3306.55
TXN1000002,2025-03-03,Gadget-X1,Europe,wholesale,264,53.22,11942.57,15,2149.66
TXN1000003,2025-04-04,Gadget-X2,Asia-Pacific,partner,657,138.39,90922.23,0,16366.0
TXN1000004,2025-05-05,Doohickey-Pro,Middle-East,direct,473,12.56,4752.7,20,855.49
TXN1000005,2025-06-06,Thingamajig,Africa,online,955,246.45,235359.75,0,42364.75
TXN1000006,2025-07-07,Gizmo-3000,North-America,retail,164,908.98,119258.18,20,21466.47
TXN1000007,2025-08-08,Contraption-A,South-America,wholesale,544,917.87,374490.96,25,67408.37
TXN1000008,2025-09-09,Device-Z,Europe,partner,357,537.52,191894.64,0,34541.04
TXN1000009,2025-10-10,Module-7,Asia-Pacific,direct,412,28.38,9354.05,20,1683.73
TXN1000010,2025-11-11,Widget-Alpha,Middle-East,online,689,283.39,165967.35,15,29874.12
TXN1000011,2025-12-12,Widget-Beta,Africa,retail,580,100.0,52200.0,10,9396.0
TXN1000012,2025-01-13,Gadget-X1,North-America,wholesale,655,564.46,369721.3,0,66549.83
TXN1000013,2025-02-14,Gadget-X2,South-America,partner,629,496.97,281334.72,10,50640.25
TXN1000014,2025-03-15,Doohickey-Pro,Europe,direct,133,830.19,99373.74,10,17887.27
TXN1000015,2025-04-16,Thingamajig,Asia-Pacific,online,259,509.45,125350.17,5,22563.03
TXN1000016,2025-05-17,Gizmo-3000,Middle-East,retail,250,700.88,175220.0,0,31539.6
TXN1000017,2025-06-18,Contraption-A,Africa,wholesale,789,33.59,19876.88,25,3577.84
TXN1000018,2025-07-19,Device-Z,North-America,partner,518,304.44,126159.94,20,22708.79
TXN1000019,2025-08-20,Module-7,South-America,direct,659,190.43,94120.03,25,16941.61
TXN1000020,2025-09-21,Widget-Alpha,Europe,online,340,515.53,131460.15,25,23662.83
TXN1000021,2025-10-22,Widget-Beta,Asia-Pacific,retail,972,335.58,293565.38,10,52841.77
TXN1000022,2025-11-23,Gadget-X1,Middle-East,wholesale,70,25.12,1318.8,25,237.38
TXN1000023,2025-12-24,Gadget-X2,Africa,partner,968,107.2,88204.16,15,15876.75
TXN1000024,2025-01-25,Doohickey-Pro,North-America,direct,268,932.86,225005.83,10,40501.05
TXN1000025,2025-02-26,Thingamajig,South-America,online,595,259.31,115717.09,25,20829.08
TXN1000026,2025-03-27,Gizmo-3000,Europe,retail,899,676.59,456190.81,25,82114.35
TXN1000027,2025-04-28,Contraption-A,Asia-Pacific,wholesale,190,828.86,125986.72,20,22677.61
TXN1000028,2025-05-01,Device-Z,Middle-East,partner,292,423.03,117348.52,5,21122.73
TXN1000029,2025-06-02,Module-7,Africa,direct,958,217.26,187321.57,10,33717.88
TXN1000030,2025-07-03,Widget-Alpha,North-America,online,958,434.57,312238.54,25,56202.94
TXN1000031,2025-08-04,Widget-Beta,South-America,retail,835,621.92,415442.56,20,74779.66
TXN1000032,2025-09-05,Gadget-X1,Europe,wholesale,982,383.25,282263.62,25,50807.45
TXN1000033,2025-10-06,Gadget-X2,Asia-Pacific,partner,942,385.36,272256.84,25,49006.23
TXN1000034,2025-11-07,Doohickey-Pro,Middle-East,direct,852,696.23,533869.16,10,96096.45
TXN1000035,2025-12-08,Thingamajig,Africa,online,318,520.3,124091.55,25,22336.48
TXN1000036,2025-01-09,Gizmo-3000,North-America,retail,163,956.88,124777.15,20,22459.89
TXN1000037,2025-02-10,Contraption-A,South-America,wholesale,958,324.17,232916.15,25,41924.91
TXN1000038,2025-03-11,Device-Z,Europe,partner,194,123.93,21638.18,10,3894.87
TXN1000039,2025-04-12,Module-7,Asia-Pacific,direct,576,37.53,17293.82,20,3112.89
TXN1000040,2025-05-13,Widget-Alpha,Middle-East,online,943,257.55,206439.2,15,37159.06
TXN1000041,2025-06-14,Widget-Beta,Africa,retail,743,788.58,439436.21,25,79098.52
TXN1000042,2025-07-15,Gadget-X1,North-America,wholesale,545,41.78,19354.59,15,3483.83
TXN1000043,2025-08-16,Gadget-X2,South-America,partner,674,11.66,6287.07,20,1131.67
TXN1000044,2025-09-17,Doohickey-Pro,Europe,direct,509,613.79,281177.2,10,50611.9
TXN1000045,2025-10-18,Thingamajig,Asia-Pacific,online,271,440.86,95578.45,20,17204.12
TXN1000046,2025-11-19,Gizmo-3000,Middle-East,retail,142,137.67,16616.77,15,2991.02
TXN1000047,2025-12-20,Contraption-A,Africa,wholesale,541,77.88,37919.77,10,6825.56
TXN1000048,2025-01-21,Device-Z,North-America,partner,857,30.93,22530.96,15,4055.57
TXN1000049,2025-02-22,Module-7,South-America,direct,592,975.43,577454.56,0,103941.82
TXN1000050,2025-03-23,Widget-Alpha,Europe,online,147,973.96,143172.12,0,25770.98
TXN1000051,2025-04-24,Widget-Beta,Asia-Pacific,retail,390,253.12,88845.12,10,15992.12
TXN1000052,2025-05-25,Gadget-X1,Middle-East,wholesale,779,302.42,188468.14,20,33924.27
TXN1000053,2025-06-26,Gadget-X2,Africa,partner,15,902.78,12187.53,10,2193.76
TXN1000054,2025-07-27,Doohickey-Pro,North-America,direct,3,481.22,1227.11,15,220.88
TXN1000055,2025-08-28,Thingamajig,South-America,online,667,105.39,59750.86,15,10755.15
TXN1000056,2025-09-01,Gizmo-3000,Europe,retail,970,763.55,592514.8,20,106652.66
TXN1000057,2025-10-02,Contraption-A,Asia-Pacific,wholesale,746,181.48,128614.88,5,23150.68
TXN1000058,2025-11-03,Device-Z,Middle-East,partner,341,486.64,165944.24,0,29869.96
TXN1000059,2025-12-04,Module-7,Africa,direct,200,204.65,30697.5,25,5525.55
TXN1000060,2025-01-05,Widget-Alpha,North-America,online,97,111.0,10767.0,0,1938.06
TXN1000061,2025-02-06,Widget-Beta,South-America,retail,177,162.9,23066.64,20,4152.0
TXN1000062,2025-03-07,Gadget-X1,Europe,wholesale,353,26.21,6939.1,25,1249.04
TXN1000063,2025-04-08,Gadget-X2,Asia-Pacific,partner,691,568.49,294619.94,25,53031.59
TXN1000064,2025-05-09,Doohickey-Pro,Middle-East,direct,382,519.87,178731.31,10,32171.64
TXN1000065,2025-06-10,Thingamajig,Africa,online,196,599.77,111677.17,5,20101.89
TXN1000066,2025-07-11,Gizmo-3000,North-America,retail,591,232.31,102971.41,25,18534.85
TXN1000067,2025-08-12,Contraption-A,South-America,wholesale,639,599.67,364029.67,5,65525.34
TXN1000068,2025-09-13,Device-Z,Europe,partner,147,445.78,52423.73,20,9436.27
TXN1000069,2025-10-14,Module-7,Asia-Pacific,direct,945,226.46,160503.53,25,28890.64
TXN1000070,2025-11-15,Widget-Alpha,Middle-East,online,514,147.61,72077.96,5,12974.03
TXN1000071,2025-12-16,Widget-Beta,Africa,retail,309,417.93,116226.33,10,20920.74
TXN1000072,2025-01-17,Gadget-X1,North-America,wholesale,26,720.62,15925.7,15,2866.63
TXN1000073,2025-02-18,Gadget-X2,South-America,partner,757,293.07,188575.89,15,33943.66
TXN1000074,2025-03-19,Doohickey-Pro,Europe,direct,855,278.71,178722.79,25,32170.1
TXN1000075,2025-04-20,Thingamajig,Asia-Pacific,online,124,482.72,59857.28,0,10774.31
TXN1000076,2025-05-21,Gizmo-3000,Middle-East,retail,429,745.72,271926.8,15,48946.82
TXN1000077,2025-06-22,Contraption-A,Africa,wholesale,570,97.45,55546.5,0,9998.37
TXN1000078,2025-07-23,Device-Z,North-America,partner,245,49.68,9128.7,25,1643.17
TXN1000079,2025-08-24,Module-7,South-America,direct,464,626.11,275989.29,5,49678.07
TXN1000080,2025-09-25,Widget-Alpha,Europe,online,603,4.99,3008.97,0,541.61
TXN1000081,2025-10-26,Widget-Beta,Asia-Pacific,retail,493,625.33,277458.92,10,49942.61
TXN1000082,2025-11-27,Gadget-X1,Middle-East,wholesale,18,556.39,10015.02,0,1802.7
TXN1000083,2025-12-28,Gadget-X2,Africa,partner,359,187.31,57157.65,15,10288.38
TXN1000084,2025-01-01,Doohickey-Pro,North-America,direct,329,722.05,201921.28,15,36345.83
TXN1000085,2025-02-02,Thingamajig,South-America,online,644,454.44,292659.36,0,52678.68
TXN1000086,2025-03-03,Gizmo-3000,Europe,retail,196,729.42,135818.0,5,24447.24
TXN1000087,2025-04-04,Contraption-A,Asia-Pacific,wholesale,25,605.99,15149.75,0,2726.95
TXN1000088,2025-05-05,Device-Z,Middle-East,partner,75,112.49,6327.56,25,1138.96
TXN1000089,2025-06-06,Module-7,Africa,direct,179,286.94,41089.81,20,7396.17
TXN1000090,2025-07-07,Widget-Alpha,North-America,online,460,693.12,286951.68,10,51651.3
TXN1000091,2025-08-08,Widget-Beta,South-America,retail,714,535.89,325231.64,15,58541.7
TXN1000092,2025-09-09,Gadget-X1,Europe,wholesale,196,48.46,7598.53,20,1367.74
TXN1000093,2025-10-10,Gadget-X2,Asia-Pacific,partner,12,868.57,7817.13,25,1407.08
TXN1000094,2025-11-11,Doohickey-Pro,Middle-East,direct,908,632.26,574092.08,0,103336.57
TXN1000095,2025-12-12,Thingamajig,Africa,online,956,622.78,506071.03,15,91092.79
TXN1000096,2025-01-13,Gizmo-3000,North-America,retail,304,280.27,85202.08,0,15336.37
TXN1000097,2025-02-14,Contraption-A,South-America,wholesale,404,183.42,74101.68,0,13338.3
TXN1000098,2025-03-15,Device-Z,Europe,partner,117,662.13,65848.83,15,11852.79
TXN1000099,2025-04-16,Module-7,Asia-Pacific,direct,687,132.14,72624.14,20,13072.35
TXN1000100,2025-05-17,Widget-Alpha,Middle-East,online,375,877.18,279601.12,15,50328.2
TXN1000101,2025-06-18,Widget-Beta,Africa,retail,80,49.24,3151.36,20,567.24
TXN1000102,2025-07-19,Gadget-X1,North-America,wholesale,187,482.0,81120.6,10,14601.71
TXN1000103,2025-08-20,Gadget-X2,South-America,partner,164,469.8,69342.48,10,12481.65
TXN1000104,2025-09-21,Doohickey-Pro,Europe,direct,787,395.34,295575.95,5,53203.67
