date,product,region,units,revenue
2026-01-01,Widget-A,North,269,26283.7
2026-02-02,Widget-B,South,35,3352.87
2026-03-03,Gadget-X,East,279,15526.21
2026-04-04,Gadget-Y,West,260,15564.56
2026-05-05,Doohickey,Central,200,17717.97
2026-06-06,Widget-A,North,23,1545.61
2026-07-07,Widget-B,South,192,6301.16
2026-08-08,Gadget-X,East,9,379.16
2026-09-09,Gadget-Y,West,35,1435.78
2026-10-10,Doohickey,Central,376,25992.65
2026-11-11,Widget-A,North,54,4288.96
2026-12-12,Widget-B,South,377,29440.35
2026-01-13,Gadget-X,East,69,964.63
2026-02-14,Gadget-Y,West,280,11328.59
2026-03-15,Doohickey,Central,330,8496.85
2026-04-16,Widget-A,North,399,28572.96
2026-05-17,Widget-B,South,357,18941.64
2026-06-18,Gadget-X,East,94,7804.33
2026-07-19,Gadget-Y,West,33,2456.32
2026-08-20,Doohickey,Central,484,24771.68
2026-09-21,Widget-A,North,151,4248.11
2026-10-22,Widget-B,South,406,11344.57
2026-11-23,Gadget-X,East,22,844.66
2026-12-24,Gadget-Y,West,159,8963.55
2026-01-25,Doohickey,Central,418,24604.63
2026-02-26,Widget-A,North,130,1727.16
2026-03-27,Widget-B,South,332,9026.85
2026-04-28,Gadget-X,East,183,16027.59
2026-05-01,Gadget-Y,West,25,2197.8
2026-06-02,Doohickey,Central,170,5878.51
2026-07-03,Widget-A,North,410,17675.81
2026-08-04,Widget-B,South,456,20972.33
2026-09-05,Gadget-X,East,226,20454.67
2026-10-06,Gadget-Y,West,198,8019.65
2026-11-07,Doohickey,Central,96,5246.24
2026-12-08,Widget-A,North,255,10978.06
2026-01-09,Widget-B,South,409,23200.45
2026-02-10,Gadget-X,East,411,7161.69
2026-03-11,Gadget-Y,West,218,3726.37
2026-04-12,Doohickey,Central,309,30760.59
2026-05-13,Widget-A,North,93,5494.69
2026-06-14,Widget-B,South,165,3171.93
2026-07-15,Gadget-X,East,168,11671.42
2026-08-16,Gadget-Y,West,157,7869.22
2026-09-17,Doohickey,Central,368,17789.28
2026-10-18,Widget-A,North,354,17679.38
2026-11-19,Widget-B,South,229,3160.65
2026-12-20,Gadget-X,East,446,41047.45
2026-01-21,Gadget-Y,West,315,31444.42
2026-02-22,Doohickey,Central,141,9523.46
2026-03-23,Widget-A,North,406,38692.37
2026-04-24,Widget-B,South,39,2745.47
2026-05-25,Gadget-X,East,208,8879.1
2026-06-26,Gadget-Y,West,411,31844.62
2026-07-27,Doohickey,Central,82,7850.77
2026-08-28,Widget-A,North,74,6391.4
2026-09-01,Widget-B,South,348,27947.21
2026-10-02,Gadget-X,East,18,384.31
2026-11-03,Gadget-Y,West,121,9686.82
2026-12-04,Doohickey,Central,188,8005.71
2026-01-05,Widget-A,North,487,29727.46
2026-02-06,Widget-B,South,310,7377.82
2026-03-07,Gadget-X,East,231,22033.73
2026-04-08,Gadget-Y,West,191,9539.41
2026-05-09,Doohickey,Central,40,2465.72
2026-06-10,Widget-A,North,272,11700.21
2026-07-11,Widget-B,South,161,11020.53
2026-08-12,Gadget-X,East,128,12343.91
2026-09-13,Gadget-Y,West,14,1066.81
2026-10-14,Doohickey,Central,256,14486.29
2026-11-15,Widget-A,North,468,28332.97
2026-12-16,Widget-B,South,135,10764.47
2026-01-17,Gadget-X,East,361,18105.8
2026-02-18,Gadget-Y,West,314,11207.26
2026-03-19,Doohickey,Central,470,46937.3
2026-04-20,Widget-A,North,103,2165.82
2026-05-21,Widget-B,South,437,7278.1
2026-06-22,Gadget-X,East,89,8087.53
2026-07-23,Gadget-Y,West,228,22741.54
2026-08-24,Doohickey,Central,415,29615.91
2026-09-25,Widget-A,North,433,42772.48
2026-10-26,Widget-B,South,342,14110.33
2026-11-27,Gadget-X,East,34,2022.65
